PlotNumber,SiteUnit
9628799,ICH vk 1 /Fl01
273680,SBS dk   /Fl05
348781,SBS vk   /Fl02
8102474,SBS dw 1 /Fl02
8203084,ICH wk 4 /Fl04
8230570,ICH vc   /Fl04
8245501,ICH wk 4 /Fl04
8245506,ICH wk 4 /Fl04
8245510,ICH wk 4 /Fl04
8245514,ICH wk 4 /Fl04
8245527,ICH wk 4 /Fl04
8245535,ICH wk 4 /Fl04
8245540,ICH wk 4 /Fl04
8245544,ICH wk 4 /Fl04
8900016,ESSFmc   /Fl04
8900562,ICH wk 4 /Fl04
8900568,ICH wk 4 /Fl02
8900576,ICH wk 4 /Fl04a
9201019,SBS wk 1 /Fl02
9201024,SBS wk 1 /Fl02
9201055,SBS vk   /Fl02
9201106,SBS vk   /Fl02
9300343,MS  dv   /Fl01
95KI006,BG  xh 3 /Fl06
95KI017,BG  xh 3 /Fl06
95KI093,BG  xw 2 /Fl04
961119,SBS dk   /Fl05
961121,SBS dk   /Fl05
961165,SBS dk   /Fl05
9614572,SBS wk 1 /Fl02
9614615,SBS wk 1 /Fl02
9614650,SBS wk 1 /Fl05a
9614756,SBS wk 1 /Fl04a
9614796,SBS wk 1 /Fl05a
9614797,SBS wk 1 /Fl02
9614800,SBS wk 1 /Fl05a
961669,ICH wk 1 /Fl04
9622898,SBS wk 1 /Fl02
9622903,SBS wk 1 /Fl02
9622917,SBS vk   /Fl02
9624778,SBS dk   /Fl05
9624955,SBS vk   /Fl02
9626038,SBS vk   /Fl02
9626055,SBS vk   /Fl02
9628575,ICH vc   /Fl04
9628631,SBPSmc   /Fl05
9628687,MS  xk 2 /Fl05  
9628702,BWBSdk 1 /Fl03
9628766,BWBSmk   /Fl05
9628787,ICH wk 1 /Fl02
9628816,BG  xw 1 /Fl06
9628839,BG  xw 1 /Fl06
9628858,ICH vc   /Fl01
9628859,ICH vc   /Fl04
9628861,ICH vc   /Fl04
9629000,ICH vc   /Fl05
963043,ICH wk 1 /Fl02
963069,BG  xw 2 /Fl04
963105,SBS dk   /Fl05
964523,SBS dw 3 /Fl05
9650002,MS  dm 1 /Fl05
9650027,MS  dm 1 /Fl05
965090,SBS dk   /Fl05
965091,SBS dk   /Fl05
965092,SBS dk   /Fl05
9651118,BWBSdk 1 /Fl03
965664,SBS vk   /Fl04
965672,SBS vk   /Fl02
965674,SBS vk   /Fl02
965678,SBS vk   /Fl04
965713,SBS vk   /Fl02
966694,BWBSdk 1 /Fl03
969490,ICH wk 1 /Fl04
9801860,SBS mk 1 /Fl04
9801900,ICH vc   /Fl03
9801910,SBS vk   /Fl04a
DC02658,ICH mc 2 /Fl02
DC07058,ICH mc 2 /Fl02
K01-041,ICH mk 1 /Fl05
K01-255,MS  dm 1 /Fl05
K01-279,ICH mk 2 /Fl01
K01-746,ICH vk 1 /Fl04
K02-690,ICH mk 1 /Fl05
K02-692,ICH mk 1 /Fl01
K11-113,PP  xw   /Fl06
K11-116,BG  xh 2 /Fl06
KBS23,ICH wc   /Fl01
N06-131,IDF xx 2 /Fl07
N06-133,IDF xx 2 /Fl06
N06-471,ESSFdk 1 /Fl05
RR72100,SBS mk 1 /Fl02
RR72172,SBS mk 1 /Fl04
RR72173,SBS mk 1 /Fl04
RR72174,SBS mk 1 /Fl04
RR72175,SBS mk 1 /Fl04
RR72176,SBS mk 1 /Fl04
RR7224,SBS mk 1 /Fl02
RR7293,SBS mk 1 /Fl02
RR7294,SBS wk 1 /Fl02
RR7295,SBS mk 1 /Fl02
RR7296,SBS wk 1 /Fl02
RR7297,SBS wk 1 /Fl02
RR7298,SBS mk 1 /Fl02
RR7299,SBS mk 1 /Fl02
001379,SBS dh 1 /Fm20
0107649,BWBSmw   /Fm20
0107662,BWBSmw   /Fm20
0107668,BWBSmw   /Fm20
0109228,IDF dh   /Fm01
0109229,IDF dh   /Fm01
0109230,IDF dh   /Fm01
08-2399,ICH xw   /Fm01
08-3303,CWH wm   /Fm02
08-3312,SBS un   /Fm03
08-3315,BWBSdk   /Fm20
08-3323,BWBSdk   /Fm20
08-3344,BWBSdk   /Fm20
08-5063,ICH dw 1 /Fm01
08-5173,ICH dw 1 /Fm01
11-4090,ICH vk 1 /Fm04
29320,BWBSmk   /Fm20
5760218,SBS wk 2 /Fm20
5760226,BWBSmw   /Fm20
