PlotNumber,SiteUnit
08-0943,CWH xm 1 /101
08-0982,CWH xm 1 /101
08-0983,CWH xm 1 /101
08-0987,CWH xm 1 /101
08-0988,CWH xm 1 /101
08-5439,CWH xm 1 /101
08-5463,CWH xm 1 /101
08-5464,CWH xm 1 /101
1191,CWH xm 1 /101
14-4153,CWH xm 1 /101
CDC0001,CWH xm 1 /101
CDC0080,CWH xm 1 /101
CDC0115,CWH xm 1 /101
CDC0123,CWH xm 1 /101
CDC0125,CWH xm 1 /101
CDC0160,CWH xm 1 /101
CDC0162,CWH xm 1 /101
CDC0201,CWH xm 1 /101
CDC0265,CWH xm 1 /101
CDC0407,CWH xm 1 /101
CDC0744,CWH xm 1 /101
CDC1093,CWH xm 1 /101
CDC1135,CWH xm 1 /101
MAD3705,CWH xm 1 /101
MAD3706,CWH xm 1 /101
MCG3,CWH xm 1 /101
MCG4,CWH xm 1 /101
MCG5,CWH xm 1 /101
MCG6,CWH xm 1 /101
MCM3,CWH xm 1 /101
MCM4,CWH xm 1 /101
MCM5,CWH xm 1 /101
SA 075,CWH xm 1 /101
VRI1130,CWH xm 1 /101
CDC0051,CWH xm 1 /102
CDC0070,CWH xm 1 /102
CDC0093,CWH xm 1 /102
CDC0097,CWH xm 1 /102
CDC0111,CWH xm 1 /102
CDC0146,CWH xm 1 /102
CDC0167,CWH xm 1 /102
CDC0213,CWH xm 1 /102
CDC0233,CWH xm 1 /102
CDC0235,CWH xm 1 /102
CDC0274,CWH xm 1 /102
CDC0341,CWH xm 1 /102
CDC0885,CWH xm 1 /102
CDC0931,CWH xm 1 /102
MAD0773,CWH xm 1 /102
MAD0776,CWH xm 1 /102
MAD1048,CWH xm 1 /102
MAD1242,CWH xm 1 /102
MAD1243,CWH xm 1 /102
MAD1244,CWH xm 1 /102
SA1005,CWH xm 1 /102
08-0960,CWH xm 1 /103
1110,CWH xm 1 /103
1124,CWH xm 1 /103
CDC0003,CWH xm 1 /103
CDC0004,CWH xm 1 /103
CDC0110,CWH xm 1 /103
CDC0284,CWH xm 1 /103
CDC0652,CWH xm 1 /103
CDC1057,CWH xm 1 /103
MAD1483,CWH xm 1 /103
MCL2,CWH xm 1 /103
MCL3,CWH xm 1 /103
MCL4,CWH xm 1 /103
MCL5,CWH xm 1 /103
NM2042,CWH xm 1 /103
NM2045,CWH xm 1 /103
ORE001,CWH xm 1 /103
SA 033,CWH xm 1 /103
SA 063,CWH xm 1 /103
02-0907,CWH xm 1 /104
1177,CWH xm 1 /104
14-4152,CWH xm 1 /104
CDC0158,CWH xm 1 /104
CDC0646,CWH xm 1 /104
RCO7720,CWH xm 1 /104
02-0983,CWH xm 1 /110
02-0987,CWH xm 1 /110
02-3092,CWH xm 1 /110
1190,CWH xm 1 /110
11-9736,CWH xm 1 /110
11-9740,CWH xm 1 /110
9802086,CWH xm 1 /110
CDC0091,CWH xm 1 /110
CDC0184,CWH xm 1 /110
CDC0229,CWH xm 1 /110
CDC0237,CWH xm 1 /110
CDC0259,CWH xm 1 /110
CDC0262,CWH xm 1 /110
CDC1186,CWH xm 1 /110
RCO7719,CWH xm 1 /110
VV0003,CWH xm 1 /110
02-0986,CWH xm 1 /111
CDC0026,CWH xm 1 /111
CDC0069,CWH xm 1 /111
CDC0126,CWH xm 1 /111
CDC0246,CWH xm 1 /111
CDC0453,CWH xm 1 /111
02-3217,CWH xm 1 /112
1115,CWH xm 1 /112
1186,CWH xm 1 /112
1187,CWH xm 1 /112
1188,CWH xm 1 /112
1189,CWH xm 1 /112
1194,CWH xm 1 /112
1195,CWH xm 1 /112
CDC0134,CWH xm 1 /112
CDC0185,CWH xm 1 /112
CDC0186,CWH xm 1 /112
CDC0188,CWH xm 1 /112
CDC0194,CWH xm 1 /112
CDC0198,CWH xm 1 /112
CDC0250,CWH xm 1 /112
CDC0260,CWH xm 1 /112
CDC0261,CWH xm 1 /112
CDC0268,CWH xm 1 /112
MCP3,CWH xm 1 /112
MCP4,CWH xm 1 /112
MCP5,CWH xm 1 /112
ORE003,CWH xm 1 /112
ORE004,CWH xm 1 /112
SA 076,CWH xm 1 /112
02-0938,CWH xm 1 /113
1176,CWH xm 1 /113
CDC0059,CWH xm 1 /113
CDC0065,CWH xm 1 /113
CDC0086,CWH xm 1 /113
CDC0102,CWH xm 1 /113
CDC0117,CWH xm 1 /113
CDC0142,CWH xm 1 /113
CDC0187,CWH xm 1 /113
CDC0192,CWH xm 1 /113
CDC0263,CWH xm 1 /113
CDC0264,CWH xm 1 /113
CDC1095,CWH xm 1 /113
02-0945,CWH xm 1 /114
02-0974,CWH xm 1 /114
02-0990,CWH xm 1 /114
9628345,CWH xm 1 /114
