PlotNumber,SiteUnit
RO 014,CDF mm   /105
RO 019,CDF mm   /105
RO 021,CDF mm   /105
RO 023,CDF mm   /105
RO 037,CDF mm   /105
RO 149,CDF mm   /105
RO 175,CDF mm   /105
RO 178,CDF mm   /105
RO 180,CDF mm   /105
RO 181,CDF mm   /105
RO 285,CDF mm   /105
RO 286,CDF mm   /105
RO 288,CDF mm   /105
RO 289,CDF mm   /105
RO 290,CDF mm   /105
RO 291,CDF mm   /105
RO 319,CDF mm   /105
RO 345,CDF mm   /105
RO 346,CDF mm   /105
RO 347,CDF mm   /105
RO 357,CDF mm   /105
RO 358,CDF mm   /105
RO 361,CDF mm   /105
RO 365,CDF mm   /105
RO 373,CDF mm   /105
RO 374,CDF mm   /105
RO 380,CDF mm   /105
RO 381,CDF mm   /105
RO 047,CDF mm   /105
RO 184,CDF mm   /105
RO 185,CDF mm   /105
RO 282,CDF mm   /105
20-1G1,CDF mm   /105
20-4G4,CDF mm   /105
22-4F1,CDF mm   /105
7-1G2,CDF mm   /105
22-4G1,CDF mm   /105
2-5G1,CDF mm   /105
MAD1052,CDF mm   /105
MAD1054,CDF mm   /105
MAD1061,CDF mm   /105
RO 356,CDF mm   /105
RO 360,CDF mm   /105
RO 362,CDF mm   /105
RO 363,CDF mm   /105
RO 364,CDF mm   /105
RO 369,CDF mm   /105
MAD1045,CDF mm   /105
1175,CDF mm   /105
18-3G1,CDF mm   /105
MAD1732,CDF mm   /105
12-1G2,CDF mm   /105
14-3G10,CDF mm   /105
16-1G1,CDF mm   /105
20-4G2,CDF mm   /105
6-1F1,CDF mm   /105
RO 105,CDF mm   /106
RO 106,CDF mm   /106
RO 107,CDF mm   /106
RO 108,CDF mm   /106
RO 110,CDF mm   /106
RO 113,CDF mm   /106
RO 114,CDF mm   /106
RO 117,CDF mm   /106
RO 121,CDF mm   /106
RO 125,CDF mm   /106
RO 126,CDF mm   /106
RO 127,CDF mm   /106
RO 140,CDF mm   /106
RO 141,CDF mm   /106
RO 335,CDF mm   /106
RO 338,CDF mm   /106
RO 130,CDF mm   /106
RO 131,CDF mm   /106
RO 328,CDF mm   /106
MAD3215,CDF mm   /110
RO 169,CDF mm   /110
RO 353,CDF mm   /110
RO 018,CDF mm   /110
MAD1407,CDF mm   /110
RO 145,CDF mm   /110
14-3F1,CDF mm   /110
18-3G8,CDF mm   /110
20-5F7,CDF mm   /110
4-3F4,CDF mm   /110
5-5G3,CDF mm   /110
8-3G9,CDF mm   /110
08-0939,CDF mm   /110
08-0977,CDF mm   /110
08-1050,CDF mm   /110
08-1052,CDF mm   /110
RO 354,CDF mm   /110
RO 036,CDF mm   /110
RO 084,CDF mm   /110
RO 294,CDF mm   /110
RO 190,CDF mm   /110
14-3G2,CDF mm   /110
15-2F12,CDF mm   /110
08-1049,CDF mm   /110
MAD3809,CDF mm   /110
MAD1294,CDF mm   /110
RO 038,CDF mm   /110
RO 044,CDF mm   /110
RO 182,CDF mm   /110
20-4G3,CDF mm   /110
20-5F4,CDF mm   /110
24-4F2,CDF mm   /110
8-3G2,CDF mm   /110
MAD1737,CDF mm   /110
9802077,CDF mm   /111
MAD3541,CDF mm   /111
MAD3199,CDF mm   /111
MAD3200,CDF mm   /111
MAD3559,CDF mm   /111
MAD0044,CDF mm   /111
MAD1199,CDF mm   /111
MAD3136,CDF mm   /111
RO 081,CDF mm   /111
08-0976,CDF mm   /112
08-1051,CDF mm   /112
08-1090,CDF mm   /112
08-5442,CDF mm   /112
15-2F13,CDF mm   /112
CDC0063,CDF mm   /112
CDC0243,CDF mm   /112
MAD1322,CDF mm   /112
MAD1710,CDF mm   /112
