PlotNumber,SiteUnit
CFI252A,ESSFdk 2 /112a
N06-393,ESSFdk 2 /112a
N06-425,ESSFdk 2 /112a
9616015,ESSFdkw  /101.1
112921,ESSFdkw  /101.1
As93144,ESSFdkw  /101.1
As93149,ESSFdkw  /101.1
As93151,ESSFdkw  /101.1
As93162,ESSFdkw  /101.1
BQG11,ESSFdkw  /101.1
BQG22,ESSFdkw  /101.1
BQG8,ESSFdkw  /101.1
BQG9,ESSFdkw  /101.1
BR32,ESSFdkw  /101.1
BR37,ESSFdkw  /101.1
BR43,ESSFdkw  /101.1
Eagle21,ESSFdkw  /101.1
HD1126,ESSFdkw  /101.1
HD2116,ESSFdkw  /101.1
JD1028,ESSFdkw  /101.1
JD1036,ESSFdkw  /101.1
JD1037,ESSFdkw  /101.1
MF2149,ESSFdkw  /101.1
MG2,ESSFdkw  /101.1
MG30,ESSFdkw  /101.1
MG5,ESSFdkw  /101.1
N05-441,ESSFdkw  /101.1
N05-476,ESSFdkw  /101.1
N06-088,ESSFdkw  /101.1
PD00381,ESSFdkw  /101.1
PD00383,ESSFdkw  /101.1
Q801789,ESSFdkw  /101.1
RS23261,ESSFdkw  /101.1
RS23262,ESSFdkw  /101.1
SD2088,ESSFdkw  /101.1
964483,ESSFdkw  /101.2
964486,ESSFdkw  /101.2
BR45,ESSFdkw  /101.2
HD2118,ESSFdkw  /101.2
JD1021,ESSFdkw  /101.2
JD1029,ESSFdkw  /101.2
MG1,ESSFdkw  /101.2
N05-464,ESSFdkw  /101.2
N06-918,ESSFdkw  /101.2
NCCK127,ESSFdkw  /101.2
PA1070,ESSFdkw  /101.2
SD2036,ESSFdkw  /101.2
964482,ESSFdkw  /102
BB1028,ESSFdkw  /102
BQG4,ESSFdkw  /102
BR24,ESSFdkw  /102
BR65,ESSFdkw  /102
CFIV4,ESSFdkw  /102
HD2108,ESSFdkw  /102
N05-356,ESSFdkw  /102
N05-457,ESSFdkw  /102
N05-479,ESSFdkw  /102
N05-522,ESSFdkw  /102
300932,ESSFdkw  /103
As93143,ESSFdkw  /103
As93146,ESSFdkw  /103
As93166,ESSFdkw  /103
BR01,ESSFdkw  /103
BR03,ESSFdkw  /103
BR31,ESSFdkw  /103
BR40,ESSFdkw  /103
Eagle07,ESSFdkw  /103
Eagle22,ESSFdkw  /103
EAGLE23,ESSFdkw  /103
EAGLE24,ESSFdkw  /103
MF2061,ESSFdkw  /103
MF2066,ESSFdkw  /103
MF2074,ESSFdkw  /103
MF7,ESSFdkw  /103
MG68,ESSFdkw  /103
N05-411,ESSFdkw  /103
N05-456,ESSFdkw  /103
N05-521,ESSFdkw  /103
PA2028,ESSFdkw  /103
PD00404,ESSFdkw  /103
SD2031,ESSFdkw  /103
SD2068,ESSFdkw  /103
As93169,ESSFdkw  /110
BR30,ESSFdkw  /110
BR42,ESSFdkw  /110
MG33,ESSFdkw  /110
N05-239,ESSFdkw  /110
N05-475,ESSFdkw  /110
PA2043,ESSFdkw  /110
SF112,ESSFdkw  /110
SF378,ESSFdkw  /110
08-1330,ESSFwm 1 /101
08-1346,ESSFwm 1 /101
08-1347,ESSFwm 1 /101
08-1349,ESSFwm 1 /101
08-7830,ESSFwm 1 /101
08-7837,ESSFwm 1 /101
08-7842,ESSFwm 1 /101
08-7843,ESSFwm 1 /101
08-7845,ESSFwm 1 /101
08-8017,ESSFwm 1 /101
12-9026,ESSFwm 1 /101
12-9925,ESSFwm 1 /101
CM582A,ESSFwm 1 /101
IL65,ESSFwm 1 /101
IL66,ESSFwm 1 /101
IL67,ESSFwm 1 /101
IL68,ESSFwm 1 /101
IL73,ESSFwm 1 /101
IL74,ESSFwm 1 /101
KN02654,ESSFwm 1 /101
KN02661,ESSFwm 1 /101
N06-939,ESSFwm 1 /101
08-2302,ESSFwm 1 /102
08-7831,ESSFwm 1 /102
