"PlotNumber","SiteUnit"
"K01-089","ICH dw 3 /101"
"K01-091","ICH dw 3 /101"
"K01-092","ICH dw 3 /101"
"K01-271","ICH dw 3 /101"
"K01-272","ICH dw 3 /101"
"K01-313","ICH dw 3 /101"
"K01-314","ICH dw 3 /101"
"NTP-047","ICH dw 3 /101"
"NTP-327","ICH dw 3 /101"
"NTP-330","ICH dw 3 /101"
"REC8304","ICH dw 3 /101"
"REC-H04","ICH dw 3 /101"
"WG8416A","ICH dw 3 /101"
"780E107","ICH wk 2 /03"
"780S104","ICH wk 2 /03"
"0109152","ICH dw 1 /101"
"0109171","ICH dw 1 /101"
"08-D123","ICH dw 1 /101"
"10029","ICH dw 1 /101"
"10056","ICH dw 1 /101"
"08-1302","ICH dw 1 /101"
"08-1304","ICH dw 1 /101"
"08-1323","ICH dw 1 /101"
"08-1324","ICH dw 1 /101"
"08-1359","ICH dw 1 /101"
"08-1423","ICH dw 1 /101"
"08-1428","ICH dw 1 /101"
"08-1438","ICH dw 1 /101"
"10-2G9","CDF mm   /02"
"16-2F11","CDF mm   /02"
"16-2G2","CDF mm   /02"
"18-3F4","CDF mm   /02"
"18-3F6","CDF mm   /02"
"19-1G1","CDF mm   /02"
"08-0984","CDF mm   /02"
"08-1088","CDF mm   /02"
"08-5443","CDF mm   /02"
"1109","CDF mm   /02"
"1175","CDF mm   /02"
"13-3F1","CDF mm   /02"
"13-3F3","CDF mm   /02"
"13-3F5","CDF mm   /02"
"14-3G4","CDF mm   /02"
"15-2F11","CDF mm   /02"
"15-2G10","CDF mm   /02"
"20-5F1","CDF mm   /02"
"20-5F6","CDF mm   /02"
"26-4F4","CDF mm   /02"
"27-1G1","CDF mm   /02"
"3-1F1","CDF mm   /02"
"3-4G1","CDF mm   /02"
"3-4G3","CDF mm   /02"
"3-4G5","CDF mm   /02"
"4-5G2","CDF mm   /02"
"8-3F2","CDF mm   /02"
"9629402","CDF mm   /02"
"9652560","CDF mm   /02"
"9802180","CDF mm   /02"
"CDC0122","CDF mm   /02"
"MAD1056","CDF mm   /02"
"MAD1061","CDF mm   /02"
"MAD1062","CDF mm   /02"
"MAD1242","CDF mm   /02"
"MAD1255","CDF mm   /02"
"MAD1268","CDF mm   /02"
"MAD1269","CDF mm   /02"
"MAD1276","CDF mm   /02"
"MAD1283","CDF mm   /02"
"MAD1406","CDF mm   /02"
"MAD1419","CDF mm   /02"
"MAD1474","CDF mm   /02"
"MAD1482","CDF mm   /02"
"MAD1585","CDF mm   /02"
"MAD1587","CDF mm   /02"
"MAD1597","CDF mm   /02"
"MAD1601","CDF mm   /02"
"MAD1693","CDF mm   /02"
"MAD1694","CDF mm   /02"
"MAD1696","CDF mm   /02"
"MAD1697","CDF mm   /02"
"MAD1711","CDF mm   /02"
"MAD3324","CDF mm   /02"
"MAD3536","CDF mm   /02"
"MAD3540","CDF mm   /02"
"MAD3560","CDF mm   /02"
"MAD3574","CDF mm   /02"
"MAD3853","CDF mm   /02"
"MAD3856","CDF mm   /02"
"MAD3978","CDF mm   /02"
"MAD3993","CDF mm   /02"
"MAD3994","CDF mm   /02"
"MAD4003","CDF mm   /02"
"MAD4006","CDF mm   /02"
"RCO7651","CDF mm   /02"
"RCO7783","CDF mm   /02"
"RO 014","CDF mm   /02"
"RO 019","CDF mm   /02"
"RO 021","CDF mm   /02"
"RO 023","CDF mm   /02"
"RO 037","CDF mm   /02"
"RO 047","CDF mm   /02"
"RO 149","CDF mm   /02"
"RO 175","CDF mm   /02"
"RO 178","CDF mm   /02"
"RO 179","CDF mm   /02"
"RO 180","CDF mm   /02"
"RO 181","CDF mm   /02"
"RO 184","CDF mm   /02"
"RO 185","CDF mm   /02"
"RO 282","CDF mm   /02"
"RO 285","CDF mm   /02"
"RO 286","CDF mm   /02"
"RO 288","CDF mm   /02"
"RO 289","CDF mm   /02"
"RO 290","CDF mm   /02"
"RO 291","CDF mm   /02"
"RO 319","CDF mm   /02"
"RO 345","CDF mm   /02"
"RO 346","CDF mm   /02"
"RO 347","CDF mm   /02"
"RO 357","CDF mm   /02"
"RO 358","CDF mm   /02"
"RO 361","CDF mm   /02"
"RO 362","CDF mm   /02"
"RO 365","CDF mm   /02"
