ID,Formation,Class,Order,Suborder,Alliance,Suball,Assoc,Subass,Facies,Working,SiteUnit
442,Formation ConiferForests,CLASS Picea,ORDER Picegla-Hylospl (BWBS/SWB) (Sw),SUBORDER Picegla-Rosaaci-Ptilcri (BWBS),ALLIANCE Picegla-Shepcan (typic and submesic),SUBALL Picegla-Shepcan-Leyminn (warm submes),ASSOC Picegla-Shepcan-Leyminn,ASSOC Picegla-Shepcan-Leyminn,,,BWBSmk   /103
196,Formation ConiferForests,CLASS Picea,ORDER Picemar-Pleusch (coldair upland blackspruce),SUBORDER Picemar-Rhodgro-Hylospl,ALLIANCE Picemar-Picegla-Pleusch (cold boreal),ALLIANCE Picemar-Picegla-Pleusch (cold boreal),ASSOC Picemar-Ledugro-Hylospl,SUBASS Picemar-Vaccmem-Vaccvit,,,BWBSmk   /104
433,Formation ConiferForests,CLASS Picea,ORDER Picegla-Hylospl (BWBS/SWB) (Sw),SUBORDER Picegla-Rosaaci-Ptilcri (BWBS),ALLIANCE Picegla-Mitenud-Petafri (rich + mw zonal),ALLIANCE Picegla-Mitenud-Petafri (rich + mw zonal),ASSOC Picegla-Ribetri-Equiset,SUBASS Sw-Ribetri-Equiset(typic),,,BWBSmk   /110
426,Formation ConiferForests,CLASS Picea,ORDER Picegla-Hylospl (BWBS/SWB) (Sw),SUBORDER Picegla-Rosaaci-Ptilcri (BWBS),ALLIANCE Picegla-Mitenud-Petafri (rich + mw zonal),ALLIANCE Picegla-Mitenud-Petafri (rich + mw zonal),ASSOC Picegla-Ribetri-Equiset,SUBASS Sw-Ribetri-Equiset(Alnuinc),,,BWBSmk   /111
,NewUnitstoPlace,,,,,,,,,,BWBSmk   /112
1864,Bogs,CLASS Oxycocc-Sphagnu,ORDER Picemar-Ledugro-Sphagnu,SUBORDER Picemar-Ledugro-Sphagnu,ALLIANCE Picemar-Ledugro,ALLIANCE Picemar-Ledugro,Wb03 ASSOC Picemar-Vaccvit-Sphagnu,SUBASS Picemar - Vaccvit - Sphagnu (typic),,,BWBSmk   /Wb03
1908,Bogs,CLASS Oxycocc-Sphagnu,ORDER Picemar-Ledugro-Sphagnu,SUBORDER Betunan-Ledugro-Sphagnu,,,Wb05 ASSOC Picemar-Careaqu-Sphagnu,Wb05 ASSOC Picemar-Careaqu-Sphagnu,,,BWBSmk   /Wb05
1878,Bogs,CLASS Oxycocc-Sphagnu,ORDER Picemar-Ledugro-Sphagnu,SUBORDER Equiset-Sphagnu,,,Wb09 ASSOC Picemar-Equiarv-Sphagnu,Wb09 ASSOC Picemar-Equiarv-Sphagnu,,,BWBSmk   /Wb09
1847,Bogs,CLASS Oxycocc-Sphagnu,ORDER Picemar-Ledugro-Sphagnu,SUBORDER Picemar-Ledugro-Sphagnu,ALLIANCE Picemar-Ledugro,ALLIANCE Picemar-Ledugro,Ws15 ASSOC SwSb-Ledugro-Aulapal,Ws15 ASSOC SwSb-Ledugro-Aulapal,,,BWBSmk   /Ws15
424,Formation ConiferForests,CLASS Picea,ORDER Picegla-Hylospl (BWBS/SWB) (Sw),SUBORDER Picegla-Rosaaci-Ptilcri (BWBS),ALLIANCE Picegla-Mitenud-Petafri (rich + mw zonal),ALLIANCE Picegla-Mitenud-Petafri (rich + mw zonal),ASSOC Picegla-Rubupub-Hylospl,ASSOC Picegla-Rubupub-Hylospl,,,BWBSmw   /101
508,Formation ConiferForests,CLASS Picea,ORDER Pinucon  (SBPS - SBS/MS/BWBSXeric sites and cold )(Pl +dry),SUBORDER Pinucon-Vaccvit (BWBS),ALLIANCE Pinucon-Arctuva-Vaccvit,ALLIANCE Pinucon-Arctuva-Vaccvit,ASSOC Pinucon-Arctuva-Vaccvit,ASSOC Pinucon-Arctuva-Vaccvit,,,BWBSmw   /102
440,Formation ConiferForests,CLASS Picea,ORDER Picegla-Hylospl (BWBS/SWB) (Sw),SUBORDER Picegla-Rosaaci-Ptilcri (BWBS),ALLIANCE Picegla-Shepcan (typic and submesic),SUBALL Picegla-Shepcan-Leyminn (warm submes),ASSOC Picegla-Shepcan-Leyminn,ASSOC Picegla-Shepcan-Leyminn,,,BWBSmw   /103
194,Formation ConiferForests,CLASS Picea,ORDER Picemar-Pleusch (coldair upland blackspruce),SUBORDER Picemar-Rhodgro-Hylospl,ALLIANCE Picemar-Picegla-Pleusch (cold boreal),ALLIANCE Picemar-Picegla-Pleusch (cold boreal),ASSOC Picemar-Ledugro-Hylospl,SUBASS Picemar-Vaccmem-Vaccvit,,,BWBSmw   /104
425,Formation ConiferForests,CLASS Picea,ORDER Picegla-Hylospl (BWBS/SWB) (Sw),SUBORDER Picegla-Rosaaci-Ptilcri (BWBS),ALLIANCE Picegla-Mitenud-Petafri (rich + mw zonal),ALLIANCE Picegla-Mitenud-Petafri (rich + mw zonal),%ASSOC Picegla-Gymndry-Aralnud,%ASSOC Picegla-Gymndry-Aralnud,,,BWBSmw   /110
431,Formation ConiferForests,CLASS Picea,ORDER Picegla-Hylospl (BWBS/SWB) (Sw),SUBORDER Picegla-Rosaaci-Ptilcri (BWBS),ALLIANCE Picegla-Mitenud-Petafri (rich + mw zonal),ALLIANCE Picegla-Mitenud-Petafri (rich + mw zonal),ASSOC Picegla-Ribetri-Equiset,SUBASS Sw-Ribetri-Equiset(typic),,,BWBSmw   /111
,NewUnitstoPlace,,,,,,,,,,BWBSmw   /112
1858,Bogs,CLASS Oxycocc-Sphagnu,ORDER Picemar-Ledugro-Sphagnu,SUBORDER Picemar-Ledugro-Sphagnu,ALLIANCE Picemar-Ledugro,ALLIANCE Picemar-Ledugro,Wb01 ASSOC Picemar-Gaulhis-Sphagnu,Wb01 ASSOC Picemar-Gaulhis-Sphagnu,,,BWBSmw   /Wb01
1863,Bogs,CLASS Oxycocc-Sphagnu,ORDER Picemar-Ledugro-Sphagnu,SUBORDER Picemar-Ledugro-Sphagnu,ALLIANCE Picemar-Ledugro,ALLIANCE Picemar-Ledugro,Wb03 ASSOC Picemar-Vaccvit-Sphagnu,SUBASS Picemar - Vaccvit - Sphagnu (typic),,,BWBSmw   /Wb03
1904,Bogs,CLASS Oxycocc-Sphagnu,ORDER Picemar-Ledugro-Sphagnu,SUBORDER Betunan-Ledugro-Sphagnu,,,Wb05 ASSOC Picemar-Careaqu-Sphagnu,Wb05 ASSOC Picemar-Careaqu-Sphagnu,,,BWBSmw   /Wb05
1872,Bogs,CLASS Oxycocc-Sphagnu,ORDER Picemar-Ledugro-Sphagnu,SUBORDER Equiset-Sphagnu,,,Wb09 ASSOC Picemar-Equiarv-Sphagnu,Wb09 ASSOC Picemar-Equiarv-Sphagnu,,,BWBSmw   /Wb09
1846,Bogs,CLASS Oxycocc-Sphagnu,ORDER Picemar-Ledugro-Sphagnu,SUBORDER Picemar-Ledugro-Sphagnu,ALLIANCE Picemar-Ledugro,ALLIANCE Picemar-Ledugro,Ws15 ASSOC SwSb-Ledugro-Aulapal,Ws15 ASSOC SwSb-Ledugro-Aulapal,,,BWBSmw   /Ws15
436,Formation ConiferForests,CLASS Picea,ORDER Picegla-Hylospl (BWBS/SWB) (Sw),SUBORDER Picegla-Rosaaci-Ptilcri (BWBS),ALLIANCE Picegla-Vaccmem (wk zonals),ALLIANCE Picegla-Vaccmem (wk zonals),ASSOC Picegla-Vaccmem-Hylospl,SUBASS Sw-Vaccmem-Hylospl(Spirbet),,,BWBSwk 1 /101
193,Formation ConiferForests,CLASS Picea,ORDER Picemar-Pleusch (coldair upland blackspruce),SUBORDER Picemar-Rhodgro-Hylospl,ALLIANCE Picemar-Picegla-Pleusch (cold boreal),ALLIANCE Picemar-Picegla-Pleusch (cold boreal),ASSOC Picemar-Ledugro-Hylospl,SUBASS Sb-Ledugro-Cladina,,,BWBSwk 1 /102
445,Formation ConiferForests,CLASS Picea,ORDER Picegla-Hylospl (BWBS/SWB) (Sw),SUBORDER Picegla-Rosaaci-Ptilcri (BWBS),ALLIANCE Picegla-Shepcan (typic and submesic),ALLIANCE Picegla-Shepcan (typic and submesic),%ASSOC Picegla-Pinucon-Shepcan-Astecon,%ASSOC Picegla-Pinucon-Shepcan-Astecon,,,BWBSwk 1 /103
198,Formation ConiferForests,CLASS Picea,ORDER Picemar-Pleusch (coldair upland blackspruce),SUBORDER Picemar-Rhodgro-Hylospl,ALLIANCE Picemar-Picegla-Pleusch (cold boreal),ALLIANCE Picemar-Picegla-Pleusch (cold boreal),ASSOC Picemar-Ledugro-Hylospl,SUBASS Picemar-Vaccmem-Vaccvit,,,BWBSwk 1 /104
429,Formation ConiferForests,CLASS Picea,ORDER Picegla-Hylospl (BWBS/SWB) (Sw),SUBORDER Picegla-Rosaaci-Ptilcri (BWBS),ALLIANCE Picegla-Mitenud-Petafri (rich + mw zonal),ALLIANCE Picegla-Mitenud-Petafri (rich + mw zonal),ASSOC Picegla-Ribetri-Equiset,SUBASS Sw-Ribetri-Equiset(typic),,,BWBSwk 1 /110
192,Formation ConiferForests,CLASS Picea,ORDER Picemar-Pleusch (coldair upland blackspruce),SUBORDER Picemar-Rhodgro-Hylospl,ALLIANCE Picemar-Equiset-Hylospl,ALLIANCE Picemar-Equiset-Hylospl,ASSOC Picemar-Equiset-Hylospl,ASSOC Picemar-Equiset-Hylospl,,,BWBSwk 1 /111
1877,Bogs,CLASS Oxycocc-Sphagnu,ORDER Picemar-Ledugro-Sphagnu,SUBORDER Equiset-Sphagnu,,,Wb09 ASSOC Picemar-Equiarv-Sphagnu,Wb09 ASSOC Picemar-Equiarv-Sphagnu,,,BWBSwk 1 /Wb09
435,Formation ConiferForests,CLASS Picea,ORDER Picegla-Hylospl (BWBS/SWB) (Sw),SUBORDER Picegla-Rosaaci-Ptilcri (BWBS),ALLIANCE Picegla-Vaccmem (wk zonals),ALLIANCE Picegla-Vaccmem (wk zonals),ASSOC Picegla-Vaccmem-Hylospl,SUBASS Sw-Vaccmem-Hylospl(typic),,,BWBSwk 2 /101
511,Formation ConiferForests,CLASS Picea,ORDER Pinucon  (SBPS - SBS/MS/BWBSXeric sites and cold )(Pl +dry),SUBORDER Pinucon-Vaccvit (BWBS),ALLIANCE Pinucon(Picemar)-Rhodgro-Cladina,ALLIANCE Pinucon(Picemar)-Rhodgro-Cladina,ASSOC Pinucon-Vaccvit-Cladina,ASSOC Pinucon-Vaccvit-Cladina,,,BWBSwk 2 /102
441,Formation ConiferForests,CLASS Picea,ORDER Picegla-Hylospl (BWBS/SWB) (Sw),SUBORDER Picegla-Rosaaci-Ptilcri (BWBS),ALLIANCE Picegla-Shepcan (typic and submesic),SUBALL Picegla-Shepcan-Leyminn (warm submes),ASSOC Picegla-Shepcan-Leyminn,ASSOC Picegla-Shepcan-Leyminn,,,BWBSwk 2 /103
200,Formation ConiferForests,CLASS Picea,ORDER Picemar-Pleusch (coldair upland blackspruce),SUBORDER Picemar-Rhodgro-Hylospl,ALLIANCE Picemar-Picegla-Pleusch (cold boreal),ALLIANCE Picemar-Picegla-Pleusch (cold boreal),ASSOC Picemar-Ledugro-Hylospl,SUBASS Sb-Vaccmem-Vaccvit(Abielas),,,BWBSwk 2 /104
423,Formation ConiferForests,CLASS Picea,ORDER Picegla-Hylospl (BWBS/SWB) (Sw),SUBORDER Picegla-Rosaaci-Ptilcri (BWBS),ALLIANCE Picegla-Mitenud-Petafri (rich + mw zonal),ALLIANCE Picegla-Mitenud-Petafri (rich + mw zonal),%ASSOC Picegla-Ribetri-Mertpan,%ASSOC Picegla-Ribetri-Mertpan,,,BWBSwk 2 /110
430,Formation ConiferForests,CLASS Picea,ORDER Picegla-Hylospl (BWBS/SWB) (Sw),SUBORDER Picegla-Rosaaci-Ptilcri (BWBS),ALLIANCE Picegla-Mitenud-Petafri (rich + mw zonal),ALLIANCE Picegla-Mitenud-Petafri (rich + mw zonal),ASSOC Picegla-Ribetri-Equiset,SUBASS Sw-Ribetri-Equiset(typic),,,BWBSwk 2 /111
437,Formation ConiferForests,CLASS Picea,ORDER Picegla-Hylospl (BWBS/SWB) (Sw),SUBORDER Picegla-Rosaaci-Ptilcri (BWBS),ALLIANCE Picegla-Vaccmem (wk zonals),ALLIANCE Picegla-Vaccmem (wk zonals),ASSOC Picegla-Vaccmem-Hylospl,SUBASS Sw-Vaccmem-Hylospl(Vaccvit),,,BWBSwk 3 /101
510,Formation ConiferForests,CLASS Picea,ORDER Pinucon  (SBPS - SBS/MS/BWBSXeric sites and cold )(Pl +dry),SUBORDER Pinucon-Vaccvit (BWBS),ALLIANCE Pinucon(Picemar)-Rhodgro-Cladina,ALLIANCE Pinucon(Picemar)-Rhodgro-Cladina,ASSOC Pl-Vaccvit-Cladina(Empenig),ASSOC Pl-Vaccvit-Cladina(Empenig),,,BWBSwk 3 /102
199,Formation ConiferForests,CLASS Picea,ORDER Picemar-Pleusch (coldair upland blackspruce),SUBORDER Picemar-Rhodgro-Hylospl,ALLIANCE Picemar-Picegla-Pleusch (cold boreal),ALLIANCE Picemar-Picegla-Pleusch (cold boreal),ASSOC Picemar-Ledugro-Hylospl,SUBASS Sb-Vaccmem-Vaccvit(Abielas),,,BWBSwk 3 /103
432,Formation ConiferForests,CLASS Picea,ORDER Picegla-Hylospl (BWBS/SWB) (Sw),SUBORDER Picegla-Rosaaci-Ptilcri (BWBS),ALLIANCE Picegla-Mitenud-Petafri (rich + mw zonal),ALLIANCE Picegla-Mitenud-Petafri (rich + mw zonal),ASSOC Picegla-Ribetri-Equiset,SUBASS Sw-Ribetri-Equiset(typic),,,BWBSwk 3 /110
190,Formation ConiferForests,CLASS Picea,ORDER Picemar-Pleusch (coldair upland blackspruce),SUBORDER Picemar-Rhodgro-Hylospl,ALLIANCE Picemar-Equiset-Hylospl,ALLIANCE Picemar-Equiset-Hylospl,ASSOC Picemar-Equiset-Hylospl,ASSOC Picemar-Equiset-Hylospl,,,BWBSwk 3 /111
,NewUnitstoPlace,,,,,,,,,,CDF mm   /101
,NewUnitstoPlace,,,,,,,,,,CDF mm   /102
,NewUnitstoPlace,,,,,,,,,,CDF mm   /103
,NewUnitstoPlace,,,,,,,,,,CDF mm   /104
,NewUnitstoPlace,,,,,,,,,,CDF mm   /105
,NewUnitstoPlace,,,,,,,,,,CDF mm   /106
,NewUnitstoPlace,,,,,,,,,,CDF mm   /110
,NewUnitstoPlace,,,,,,,,,,CDF mm   /111
,NewUnitstoPlace,,,,,,,,,,CDF mm   /112
,NewUnitstoPlace,,,,,,,,,,CDF mm   /113
,NewUnitstoPlace,,,,,,,,,,CDF mm   /115
,NewUnitstoPlace,,,,,,,,,,CDF mm   /116
,NewUnitstoPlace,,,,,,,,,,CDF mm   /117
1974,Bogs,CLASS Oxycocc-Sphagnu,ORDER Kalmia-Sphagnu,ORDER Kalmia-Sphagnu,ALLIANCE Kalmia general,ALLIANCE Kalmia general,Wb55 ASSOC Pinucon-Kalmmic-Vacculi-Sphagnu,Wb55 ASSOC Pinucon-Kalmmic-Vacculi-Sphagnu,,,CDF mm   /Wb55
,NewUnitstoPlace,,,,,,,,,,CWH ds 1 /101
,NewUnitstoPlace,,,,,,,,,,CWH ds 1 /102
,NewUnitstoPlace,,,,,,,,,,CWH ds 1 /103
,NewUnitstoPlace,,,,,,,,,,CWH ds 1 /104
,NewUnitstoPlace,,,,,,,,,,CWH ds 1 /110
,NewUnitstoPlace,,,,,,,,,,CWH ds 1 /112
,NewUnitstoPlace,,,,,,,,,,CWH ds 1 /113
,NewUnitstoPlace,,,,,,,,,,CWH ds 1 /114
,NewUnitstoPlace,,,,,,,,,,CWH ds 1 /115
,NewUnitstoPlace,,,,,,,,,,CWH ds 1 /117
1384,Formation ConiferForests,CLASS Thujpli-Tsughet,ORDER Tsughet-Rhytlor (CWH),"SUBORDER Pseumen-Tsughet-Hylospl (ds, dm, xm zonals)",ALLIANCE PseumenTsughet-Hylospl,ALLIANCE PseumenTsughet-Hylospl,ASSOC Tsughet-Pseumen-Rhyttri,ASSOC Tsughet-Pseumen-Rhyttri,,,CWH ds 2 /01
1387,Formation ConiferForests,CLASS Thujpli-Tsughet,ORDER Tsughet-Rhytlor (CWH),"SUBORDER Pseumen-Tsughet-Hylospl (ds, dm, xm zonals)",ALLIANCE Pseumen-Tsughet-Gaulsha,ALLIANCE Pseumen-Tsughet-Gaulsha,ASSOC Pseumen-Pinucon-Arctuva,ASSOC Pseumen-Pinucon-Arctuva,,,CWH ds 2 /02
1392,Formation ConiferForests,CLASS Thujpli-Tsughet,ORDER Tsughet-Rhytlor (CWH),"SUBORDER Pseumen-Tsughet-Hylospl (ds, dm, xm zonals)",ALLIANCE Pseumen-Tsughet-Gaulsha,ALLIANCE Pseumen-Tsughet-Gaulsha,ASSOC Pseumen-Tsughet-Gaulsha-Vaccpar,SUBASS FdHw-Gaulsha-Vaccpar(typic),,,CWH ds 2 /03
,NewUnitstoPlace,,,,,,,,,,CWH ds 2 /04
,NewUnitstoPlace,,,,,,,,,,CWH ds 2 /05
1503,Formation ConiferForests,CLASS Thujpli-Tsughet,ORDER Tsughet-Rhytlor (CWH),SUBORDER Thujpli-Tiartri (Coast Rich),ALLIANCE Tsughet -Oplohor (maritime),ALLIANCE Tsughet -Oplohor (maritime),%ASSOC Thujpli-Pseumen-Gymndry,%ASSOC Thujpli-Pseumen-Gymndry,,,CWH ds 2 /06
